time_minute,machine,area,measurement_count,temp_min,temp_max,temp_mean,temp_std,temp_single_min,temp_single_max,temp_single_mean,temp_single_std,temp_hopper_min,temp_hopper_max,temp_hopper_mean,temp_hopper_std,temp_conv_left_min,temp_conv_left_max,temp_conv_left_mean,temp_conv_left_std,temp_conv_right_min,temp_conv_right_max,temp_conv_right_mean,temp_conv_right_std,temp_auger_left_min,temp_auger_left_max,temp_auger_left_mean,temp_auger_left_std,temp_auger_right_min,temp_auger_right_max,temp_auger_right_mean,temp_auger_right_std,temp_subgrade_min,temp_subgrade_max,temp_subgrade_mean,temp_subgrade_std,speed_min,speed_max,speed_mean,speed_std
2025-10-19 07:48:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,32,52.0,108.0,86.47,14.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,3.4,2.19,0.67
2025-10-19 07:49:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,352,117.0,142.0,134.84,4.59,,,,,,,,,,,,,,,,,124.0,132.0,128.44,2.06,,,,,,,,,3.56,4.13,3.91,0.16
2025-10-19 07:49:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,320,16.0,139.0,113.12,39.25,,,,,,,,,,,,,,,,,109.0,116.0,112.38,1.9,,,,,,,,,3.56,4.13,3.94,0.15
2025-10-19 07:49:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,41,11.0,124.0,84.54,33.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,3.9,3.01,0.78
2025-10-19 07:50:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,330,118.0,141.0,133.02,4.8,,,,,,,,,,,,,,,,,124.0,130.0,125.87,1.55,,,,,,,,,3.95,4.15,4.0,0.05
2025-10-19 07:50:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,300,17.0,135.0,111.65,37.86,,,,,,,,,,,,,,,,,109.0,115.0,112.4,1.75,,,,,,,,,3.88,4.12,3.98,0.07
2025-10-19 07:50:00+02,M_0003442B_00000001,A_3087B71D_68F3EA7A,50,88.0,119.0,103.1,9.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.6,4.32,0.29
2025-10-19 07:51:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,352,117.0,141.0,130.43,5.04,,,,,,,,,,,,,,,,,111.0,127.0,119.44,4.39,,,,,,,,,3.49,4.08,3.9,0.18
2025-10-19 07:51:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,320,17.0,135.0,112.56,38.07,,,,,,,,,,,,,,,,,110.0,117.0,113.31,2.17,,,,,,,,,3.69,4.08,3.91,0.12
2025-10-19 07:51:00+02,M_0003442B_00000001,A_3087B71D_68F3EA7A,70,11.0,109.0,79.83,32.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,4.6,3.98,0.71
2025-10-19 07:51:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,5,11.0,17.0,12.6,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.4,1.94,0.36
2025-10-19 07:52:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,352,119.0,137.0,128.15,3.96,,,,,,,,,,,,,,,,,121.0,129.0,123.81,2.56,,,,,,,,,4.02,4.21,4.09,0.06
2025-10-19 07:52:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,320,17.0,135.0,111.97,38.14,,,,,,,,,,,,,,,,,113.0,119.0,115.19,1.74,,,,,,,,,3.62,4.08,3.94,0.1
2025-10-19 07:52:00+02,M_0003442B_00000001,A_3087B71D_68F3EA7A,68,12.0,123.0,92.78,35.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,5.1,4.22,0.86
2025-10-19 07:52:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,54,88.0,119.0,102.3,7.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.1,3.44,0.58
2025-10-19 07:53:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,374,119.0,139.0,131.07,4.67,,,,,,,,,,,,,,,,,124.0,128.0,126.12,1.32,,,,,,,,,3.65,4.15,4.02,0.16
2025-10-19 07:53:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,320,17.0,137.0,113.23,38.9,,,,,,,,,,,,,,,,,104.0,115.0,110.31,2.71,,,,,,,,,3.62,4.08,3.96,0.11
2025-10-19 07:53:00+02,M_0003442B_00000001,A_3087B71D_68F3EA7A,85,16.0,113.0,96.73,11.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,5.1,4.68,0.64
2025-10-19 07:53:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,18,11.0,93.0,17.33,19.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3.4,1.77,0.96
2025-10-19 07:54:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,352,118.0,140.0,133.81,4.72,,,,,,,,,,,,,,,,,120.0,126.0,123.25,1.44,,,,,,,,,3.7,4.21,4.04,0.16
2025-10-19 07:54:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,320,17.0,137.0,114.03,39.26,,,,,,,,,,,,,,,,,102.0,119.0,112.69,4.03,,,,,,,,,3.56,4.08,3.93,0.14
2025-10-19 07:54:00+02,M_0003442B_00000001,A_3087B71D_68F3EA7A,68,11.0,101.0,75.63,31.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.1,4.18,1.07
2025-10-19 07:54:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,69,11.0,125.0,88.12,34.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,5.1,4.35,0.99
2025-10-19 07:55:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,352,121.0,140.0,131.45,4.83,,,,,,,,,,,,,,,,,120.0,127.0,124.25,1.6,,,,,,,,,4.02,4.21,4.08,0.06
2025-10-19 07:55:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,320,17.0,138.0,111.83,38.39,,,,,,,,,,,,,,,,,109.0,116.0,113.19,2.01,,,,,,,,,3.83,4.08,3.99,0.07
2025-10-19 07:55:00+02,M_0003442B_00000001,A_3087B71D_68F3EA7A,88,76.0,118.0,99.26,11.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,5.2,4.94,0.24
2025-10-19 07:55:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,27,12.0,94.0,65.74,37.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,5.0,3.84,1.39
2025-10-19 07:56:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,374,112.0,133.0,124.78,4.23,,,,,,,,,,,,,,,,,119.0,127.0,122.82,2.48,,,,,,,,,3.69,4.21,4.07,0.14
2025-10-19 07:56:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,300,17.0,133.0,101.99,35.12,,,,,,,,,,,,,,,,,115.0,121.0,118.07,1.61,,,,,,,,,3.58,4.07,3.93,0.14
2025-10-19 07:56:00+02,M_0003442B_00000001,A_3087B71D_68F3EA7A,73,11.0,118.0,82.48,36.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,6.0,4.72,1.49
2025-10-19 07:57:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,352,111.0,134.0,123.73,4.99,,,,,,,,,,,,,,,,,120.0,127.0,123.81,1.98,,,,,,,,,3.68,4.15,4.04,0.14
2025-10-19 07:57:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,320,17.0,133.0,103.33,34.89,,,,,,,,,,,,,,,,,111.0,119.0,114.94,2.33,,,,,,,,,3.62,4.07,3.91,0.12
2025-10-19 07:57:00+02,M_0003442B_00000001,A_3087B71D_68F3EA7A,69,11.0,107.0,70.64,34.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,6.1,5.24,1.28
2025-10-19 07:57:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,25,11.0,95.0,66.2,33.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,3.2,2.32,1.05
2025-10-19 07:58:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,352,111.0,133.0,122.65,4.75,,,,,,,,,,,,,,,,,119.0,134.0,125.44,3.7,,,,,,,,,3.69,4.21,4.07,0.11
2025-10-19 07:58:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,320,17.0,133.0,106.72,36.19,,,,,,,,,,,,,,,,,85.0,115.0,99.94,8.59,,,,,,,,,3.74,4.08,3.95,0.09
2025-10-19 07:58:00+02,M_0003442B_00000001,A_3087B71D_68F3EA7A,89,70.0,115.0,96.55,11.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,6.0,5.21,0.72
2025-10-19 07:58:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,62,86.0,117.0,104.19,8.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.2,3.49,0.52
2025-10-19 07:59:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,352,114.0,139.0,124.89,5.09,,,,,,,,,,,,,,,,,120.0,133.0,128.38,3.86,,,,,,,,,3.67,4.08,3.99,0.15
2025-10-19 07:59:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,320,17.0,134.0,108.84,37.39,,,,,,,,,,,,,,,,,76.0,94.0,85.75,5.45,,,,,,,,,3.69,4.15,4.0,0.13
2025-10-19 07:59:00+02,M_0003442B_00000001,A_3087B71D_68F3EA7A,90,75.0,112.0,90.59,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,5.6,5.36,0.3
2025-10-19 07:59:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,71,76.0,112.0,90.0,10.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,5.1,4.45,0.63
2025-10-19 08:00:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,374,116.0,144.0,134.53,6.11,,,,,,,,,,,,,,,,,125.0,132.0,129.0,2.09,,,,,,,,,4.02,4.21,4.1,0.07
2025-10-19 08:00:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,320,17.0,132.0,97.03,32.17,,,,,,,,,,,,,,,,,72.0,97.0,85.56,5.5,,,,,,,,,3.82,4.15,4.04,0.1
2025-10-19 08:00:00+02,M_0003442B_00000001,A_3087B71D_68F3EA7A,90,77.0,117.0,97.87,10.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,5.6,5.43,0.16
